beta,wl_prime_nm,bare_dC_pr_2_dtheta,ring_period_nm,ring_dC_pr_2_dtheta,enhancement_ratio
0.0,1550.0,-1.3517357396219945e-14,1500.0,1.7859559978921115e-15,-0.1321231617647059
0.0,1550.0,-1.3517357396219945e-14,1800.0,-1.1927080055488188e-15,0.08823529411764706
0.0,1550.0,-1.3517357396219945e-14,2000.0,-6.7586786981099735e-15,0.5000000000000001
0.0,1550.0,-1.3517357396219945e-14,2400.0,1.967968209155551e-14,-1.4558823529411766
0.0,1550.0,-1.3517357396219945e-14,2800.0,2.1866313435061676e-15,-0.16176470588235295
0.05,1629.5381974173254,0.0,1500.0,3.1060104311167156e-17,inf
0.05,1629.5381974173254,0.0,1800.0,4.770832022195274e-15,inf
0.05,1629.5381974173254,0.0,2000.0,0.0,inf
0.05,1629.5381974173254,0.0,2400.0,1.3517357396219945e-14,inf
0.05,1629.5381974173254,0.0,2800.0,-9.34287937679908e-15,inf
0.1,1713.5894750169568,3.1060104311167156e-17,1500.0,-2.3295078233375367e-18,-0.075
0.1,1713.5894750169568,3.1060104311167156e-17,1800.0,-7.553817368475852e-15,-243.2
0.1,1713.5894750169568,3.1060104311167156e-17,2000.0,-7.156248033292914e-15,-230.40000000000003
0.1,1713.5894750169568,3.1060104311167156e-17,2400.0,-2.4649298781342254e-14,-793.6
0.1,1713.5894750169568,3.1060104311167156e-17,2800.0,-8.507983772914908e-14,-2739.2000000000003
0.15,1802.8979939171786,-3.2613109526725515e-17,1500.0,1.320054433224604e-17,-0.4047619047619047
0.15,1802.8979939171786,-3.2613109526725515e-17,1800.0,-1.2924109403876654e-14,396.2857142857143
0.15,1802.8979939171786,-3.2613109526725515e-17,2000.0,-2.3854160110976376e-15,73.14285714285714
0.15,1802.8979939171786,-3.2613109526725515e-17,2400.0,-2.484808344893372e-14,761.9047619047617
0.15,1802.8979939171786,-3.2613109526725515e-17,2800.0,6.1623246953355635e-15,-188.95238095238093
0.2,1898.3545506569628,-5.699529141099173e-16,1500.0,7.765026077791789e-19,-0.001362397820163488
0.2,1898.3545506569628,-5.699529141099173e-16,1800.0,1.7083057371141934e-17,-0.02997275204359673
0.2,1898.3545506569628,-5.699529141099173e-16,2000.0,9.54166404439055e-15,-16.74114441416894
0.2,1898.3545506569628,-5.699529141099173e-16,2400.0,-1.2921003393445537e-14,22.670299727520437
0.2,1898.3545506569628,-5.699529141099173e-16,2800.0,-7.812237436344763e-14,137.0681198910082
