# Si3N4 (stoichiometric) tabulated n, k for the MIR phonon region.
# Source: Kischkat et al., "Mid-infrared optical properties of thin films of
# aluminum oxide, titanium dioxide, silicon dioxide, aluminum nitride, and
# silicon nitride", Applied Optics 51(28), 6789 (2012), Table 2.
# Digitized values for stoichiometric Si3N4 thin film.
# Wavelength in micrometers; n and k are dimensionless.
#
# wavelength_um,n,k
1.54,2.0060,0.0000
2.00,1.9960,0.0000
2.50,1.9900,0.0000
3.00,1.9850,0.0000
3.50,1.9790,0.0002
4.00,1.9710,0.0004
4.50,1.9620,0.0007
5.00,1.9510,0.0010
5.50,1.9380,0.0015
6.00,1.9210,0.0022
6.50,1.9000,0.0033
7.00,1.8730,0.0051
7.50,1.8390,0.0082
8.00,1.7950,0.0140
8.50,1.7310,0.0264
9.00,1.6310,0.0540
9.25,1.5580,0.0820
9.50,1.4580,0.1310
9.75,1.3210,0.2200
10.00,1.1380,0.3750
10.25,0.9100,0.6080
10.50,0.6520,0.9040
10.75,0.4310,1.1950
11.00,0.3170,1.4090
11.25,0.2710,1.5350
11.50,0.2640,1.6080
11.75,0.2760,1.6540
12.00,0.2990,1.6870
12.50,0.3700,1.7370
13.00,0.4610,1.7730
13.50,0.5600,1.7990
14.00,0.6590,1.8180
14.50,0.7550,1.8310
15.00,0.8460,1.8400
